	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0000	
0001	85FD	FFFFFF	200.0000	4.000000	5.607000	n/a	9E899C	-76.1425	-1.522851	0.084149	n/a	
0002	85FD	BEA313	-51.0648	-1.021297	0.585703	n/a	9E8953	-76.1434	-1.522868	0.084132	n/a	
0003	85FD	BE99EB	-51.0928	-1.021855	0.585145	n/a	9E89BF	-76.1421	-1.522843	0.084157	n/a	
0004	85FD	BE9095	-51.1213	-1.022425	0.584575	n/a	9E8996	-76.1426	-1.522852	0.084148	n/a	
0005	85FD	BE87C5	-51.1482	-1.022963	0.584037	n/a	9E8994	-76.1426	-1.522853	0.084147	n/a	
0006	85FD	BE7E87	-51.1764	-1.023527	0.583473	n/a	9E89A3	-76.1425	-1.522849	0.084151	n/a	
0007	85FD	BE74ED	-51.2057	-1.024113	0.582887	n/a	9E8956	-76.1434	-1.522868	0.084132	n/a	
0008	85FD	BE6BFF	-51.2329	-1.024658	0.582342	n/a	9E89B9	-76.1422	-1.522844	0.084156	n/a	
0009	85FD	BE6269	-51.2622	-1.025243	0.581757	n/a	9E8997	-76.1426	-1.522852	0.084148	n/a	
0010	85FD	BE626F	-51.2621	-1.025242	0.581758	n/a	9E89A5	-76.1424	-1.522849	0.084151	n/a	
0011	85FD	BEAE1A	-51.0312	-1.020624	0.586376	n/a	9E8994	-76.1426	-1.522853	0.084147	n/a	
0012	85FD	BF31A1	-50.6298	-1.012596	0.594404	n/a	9E88B7	-76.1453	-1.522906	0.084094	n/a	
0013	85FD	BFCCE7	-50.1559	-1.003119	0.603881	n/a	9E8886	-76.1459	-1.522917	0.084083	n/a	
0014	85FD	C0702A	-49.6577	-0.993154	0.613846	n/a	9E8882	-76.1459	-1.522918	0.084082	n/a	
0015	85FD	C115DA	-49.1521	-0.983041	0.623959	n/a	9E88A2	-76.1455	-1.522911	0.084089	n/a	
0016	85FD	C1B9E2	-48.6515	-0.973029	0.633971	n/a	9E8874	-76.1461	-1.522922	0.084078	n/a	
0017	85FD	C25BBF	-48.1575	-0.963150	0.643850	n/a	9E890E	-76.1442	-1.522885	0.084115	n/a	
0018	85FD	C2FBC3	-47.6692	-0.953384	0.653616	n/a	9E88B7	-76.1453	-1.522906	0.084094	n/a	
0019	85FD	C39979	-47.1879	-0.943758	0.663242	n/a	9E88C7	-76.1451	-1.522902	0.084098	n/a	
0020	85FD	C434B4	-46.7142	-0.934283	0.672717	n/a	9E8828	-76.1470	-1.522940	0.084060	n/a	
0021	85FD	C4CC3A	-46.2517	-0.925035	0.681965	n/a	9E887A	-76.1460	-1.522920	0.084080	n/a	
0022	85FD	C5623D	-45.7939	-0.915879	0.691121	n/a	9E882F	-76.1469	-1.522938	0.084062	n/a	
0023	85FD	C5F5ED	-45.3432	-0.906865	0.700135	n/a	9E8931	-76.1438	-1.522876	0.084124	n/a	
0024	85FD	C687BE	-44.8982	-0.897965	0.709035	n/a	9E8912	-76.1442	-1.522884	0.084116	n/a	
0025	85FD	C716DE	-44.4615	-0.889229	0.717771	n/a	9E890E	-76.1442	-1.522885	0.084115	n/a	
0026	85FD	C7A3B4	-44.0317	-0.880633	0.726367	n/a	9E89B8	-76.1422	-1.522844	0.084156	n/a	
0027	85FD	C82E0D	-43.6095	-0.872189	0.734811	n/a	9E89A6	-76.1424	-1.522849	0.084151	n/a	
0028	85FD	C8B667	-43.1933	-0.863867	0.743133	n/a	9E8995	-76.1426	-1.522853	0.084147	n/a	
0029	85FD	C93C0F	-42.7855	-0.855709	0.751291	n/a	9E89B1	-76.1423	-1.522846	0.084154	n/a	
0030	85FD	C9C01D	-42.3825	-0.847649	0.759351	n/a	9E89D3	-76.1419	-1.522838	0.084162	n/a	
0031	85FD	CA4285	-41.9845	-0.839690	0.767310	n/a	9E89B1	-76.1423	-1.522846	0.084154	n/a	
0032	85FD	CAC28C	-41.5938	-0.831876	0.775124	n/a	9E8A48	-76.1405	-1.522810	0.084190	n/a	
0033	85FD	CB406F	-41.2096	-0.824192	0.782808	n/a	9E8A4D	-76.1404	-1.522809	0.084191	n/a	
0034	85FD	CBBB82	-40.8340	-0.816680	0.790320	n/a	9E89F4	-76.1415	-1.522830	0.084170	n/a	
0035	85FD	CC35A8	-40.4612	-0.809225	0.797775	n/a	9E8A14	-76.1411	-1.522822	0.084178	n/a	
0036	85FD	CCAD48	-40.0962	-0.801924	0.805076	n/a	9E8998	-76.1426	-1.522852	0.084148	n/a	
0037	85FD	CD2393	-39.7352	-0.794704	0.812296	n/a	9E8A02	-76.1413	-1.522827	0.084173	n/a	
0038	85FD	CD9760	-39.3818	-0.787636	0.819364	n/a	9E897C	-76.1429	-1.522859	0.084141	n/a	
0039	85FD	CE0957	-39.0340	-0.780680	0.826320	n/a	9E89D2	-76.1419	-1.522838	0.084162	n/a	
0040	85FD	CE7997	-38.6914	-0.773829	0.833171	n/a	9E89CE	-76.1420	-1.522839	0.084161	n/a	
0041	85FD	CEE7FA	-38.3546	-0.767091	0.839909	n/a	9E89AC	-76.1424	-1.522847	0.084153	n/a	
0042	85FD	CF5484	-38.0233	-0.760466	0.846534	n/a	9E89A2	-76.1425	-1.522850	0.084150	n/a	
