	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0000	
0001	857D	9F0779	-75.7584	-1.51517	0.09183	n/a	9F07A6	-75.7579	-1.51516	0.09184	n/a	
0002	857D	9F07AB	-75.7578	-1.51516	0.09184	n/a	9F075F	-75.7588	-1.51518	0.09182	n/a	
0003	857D	9F0734	-75.7593	-1.51519	0.09181	n/a	9F07D6	-75.7573	-1.51515	0.09185	n/a	
0004	857D	9F07BC	-75.7576	-1.51515	0.09185	n/a	9F075D	-75.7588	-1.51518	0.09182	n/a	
0005	857D	9F0732	-75.7593	-1.51519	0.09181	n/a	9F0739	-75.7592	-1.51518	0.09182	n/a	
0006	857D	9F07B5	-75.7577	-1.51515	0.09185	n/a	9F07C6	-75.7575	-1.51515	0.09185	n/a	
0007	857D	9F085E	-75.7557	-1.51511	0.09189	n/a	9F0914	-75.7535	-1.51507	0.09193	n/a	
0008	857D	9EBEAC	-75.9806	-1.51961	0.08739	n/a	9C4972	-77.9009	-1.55802	0.04898	n/a	
0009	857D	AD8742	-64.4310	-1.28862	0.31838	n/a	ADCB0A	-64.2241	-1.28448	0.32252	n/a	
0010	857D	B83E29	-56.0603	-1.12121	0.48579	n/a	BA3C69	-54.5031	-1.09006	0.51694	n/a	
0011	857D	C3C285	-47.0626	-0.94125	0.66575	n/a	C3C5A7	-47.0531	-0.94106	0.66594	n/a	
0012	857D	C9B415	-42.4192	-0.84838	0.75862	n/a	C9B63A	-42.4126	-0.84825	0.75875	n/a	
0013	857D	CEC7AA	-38.4532	-0.76906	0.83794	n/a	CF48BE	-38.0593	-0.76119	0.84581	n/a	
0014	857D	D2F625	-35.1863	-0.70373	0.90327	n/a	D2F5F3	-35.1869	-0.70374	0.90326	n/a	
0015	857D	D6126E	-32.7562	-0.65512	0.95188	n/a	D686A2	-32.4016	-0.64803	0.95897	n/a	
0016	857D	D8BDD4	-30.6707	-0.61341	0.99359	n/a	D9250B	-30.3557	-0.60711	0.99989	n/a	
0017	857D	DA4822	-29.4674	-0.58935	1.01765	n/a	DA4C8B	-29.4539	-0.58908	1.01792	n/a	
0018	857D	DA834A	-29.2868	-0.58574	1.02126	n/a	DA8611	-29.2784	-0.58557	1.02143	n/a	
0019	857D	DD98A2	-26.8779	-0.53756	1.06944	n/a	DDA176	-26.8510	-0.53702	1.06998	n/a	
0020	857D	E08450	-24.5962	-0.49192	1.11508	n/a	E0A868	-24.4861	-0.48972	1.11728	n/a	
0021	857D	E1ED0C	-23.4953	-0.46991	1.13709	n/a	E1EF6D	-23.4881	-0.46976	1.13724	n/a	
0022	856D	E418AA	-21.7997	-0.43599	1.17101	n/a	E4196D	-21.7974	-0.43595	1.17105	n/a	
0023	856D	E562FF	-20.7916	-0.41583	1.19117	n/a	E59257	-20.6471	-0.41294	1.19406	n/a	
0024	856D	E68486	-19.9081	-0.39816	1.20884	n/a	E6BDE1	-19.7330	-0.39466	1.21234	n/a	
0025	856D	E82C2A	-18.6152	-0.37230	1.23470	n/a	E866B8	-18.4365	-0.36873	1.23827	n/a	
0026	856D	E90EA4	-17.9241	-0.35848	1.24852	n/a	E922EC	-17.8622	-0.35724	1.24976	n/a	
0027	856D	EA5B91	-16.9081	-0.33816	1.26884	n/a	EA6CEB	-16.8551	-0.33710	1.26990	n/a	
0028	856D	EB6821	-16.0885	-0.32177	1.28523	n/a	EB8625	-15.9969	-0.31994	1.28706	n/a	
0029	856D	EC2E6D	-15.4833	-0.30967	1.29733	n/a	EC5061	-15.3797	-0.30759	1.29941	n/a	
0030	856D	EC9BD3	-15.1495	-0.30299	1.30401	n/a	EC989A	-15.1593	-0.30319	1.30381	n/a	
0031	856D	EC962C	-15.1667	-0.30333	1.30367	n/a	EC970C	-15.1640	-0.30328	1.30372	n/a	
0032	856D	EC9642	-15.1664	-0.30333	1.30367	n/a	EC977E	-15.1627	-0.30325	1.30375	n/a	
0033	85ED	EC94B7	-15.1711	-0.30342	1.30358	n/a	EC96D1	-15.1647	-0.30329	1.30371	n/a	
0034	85ED	EC953B	-15.1696	-0.30339	1.30361	n/a	EC94A3	-15.1714	-0.30343	1.30357	n/a	
0035	85ED	EC9483	-15.1718	-0.30344	1.30356	n/a	EC95EC	-15.1675	-0.30335	1.30365	n/a	
0036	85ED	EC93BD	-15.1741	-0.30348	1.30352	n/a	EC9585	-15.1687	-0.30337	1.30363	n/a	
0037	85ED	EC932F	-15.1758	-0.30352	1.30348	n/a	EC957E	-15.1688	-0.30338	1.30362	n/a	
0038	85AD	EC9308	-15.1763	-0.30353	1.30347	n/a	EC9533	-15.1697	-0.30339	1.30361	n/a	
0039	85AD	EC93CD	-15.1739	-0.30348	1.30352	n/a	EC94DD	-15.1707	-0.30341	1.30359	n/a	
0040	85AD	EC9453	-15.1723	-0.30345	1.30355	n/a	EC945A	-15.1723	-0.30345	1.30355	n/a	
0041	85AD	EC93EF	-15.1735	-0.30347	1.30353	n/a	EC9570	-15.1689	-0.30338	1.30362	n/a	
0042	85AD	EC945B	-15.1722	-0.30344	1.30356	n/a	EC9437	-15.1727	-0.30345	1.30355	n/a	
0043	85AD	EC92D7	-15.1769	-0.30354	1.30346	n/a	EC95C4	-15.1679	-0.30336	1.30364	n/a	
